name,time,content
"PLA military actions targeted at ""Taiwan independence"" separatist forces and external interferences: Defense Spokesperson","Source：,Editor：Li Weichao,2022-12-29 17:01:17","BEIJING, Dec. 29 -- The military actions by the PLA are targeted at “Taiwan independence” separatist forces and external interferences, aiming to defend national sovereignty and territorial integrity, said Senior Colonel Tan Kefei, a spokesperson for the Chinese Ministry of National Defense, at a regular press conference on Thursday.,Senior Colonel Tan made the remarks when commenting on a recent statement by the head of Taiwan’s foreign affairs department, who said that the “military threats” from the mainland had become “unprecedentedly serious” as the number of military aircraft “trespassing” into Taiwan’s “air defense identification zone” has increased by five times since 2020, and that he thought the mainland would find more excuses to rehearse attacks on Taiwan.,To these words, Tan pointed out that such military actions by the PLA would be taken wherever there are people who forget their heritage, betray their motherland, and seek to split the country. ,“Instead of counting how frequently or how many times the PLA aircraft has been dispatched, the Democratic Progressive Party authorities had better face up to history and reality, recognize the overwhelming trend of national reunification and what the people wish for, and reflect on its wrong words and deeds of seeking “Taiwan independence” by soliciting foreign support or resorting to the use of force, by stirring up cross-Strait confrontation and jeopardizing the cross-Strait relations,” said the spokesperson.,He also stressed that it is the sacred duty of the PLA to safeguard national sovereignty and curb “Taiwan independence” separatists. Always bearing in mind its mission, the PLA has never slacked in combat-readiness training and exercise, standing ready to smash any form of “Taiwan independence” separatist schemes and interference attempts by external forces, and resolutely defend national sovereignty and territorial integrity., "
Space mission records in 2022,"Source：,Editor：Lin Congyi,2022-12-31 18:51:33","BEIJING, Dec. 31 (Xinhua) -- For China's space sector, 2022 was a year of substantial progress and remarkable new records.,China completed more than 60 space launches this year, a record high. Among these missions, 53 were conducted by the Long March carrier rockets, the country's backbone launch vehicles.,The proportion of launches using new-generation rockets has increased, reaching a three-year high of 27 percent in 2022, said Long Lehao, a senior Long March rocket advisor.,Successful missions included the deployment of a record-breaking 22 satellites into space by a Long March-8 rocket, the debut flight of a Long March-6 rocket with solid strap-on boosters, and the launch of reusable test spacecraft by a Long March-2F rocket. These missions have laid a technological foundation for the peaceful use of space.,But the most high-profile rocket launches this year were related to the construction of the Chinese space station, with two manned spaceships, two cargo craft and two 20-tonne-level lab modules sent into orbit.,The launch of the Mengtian lab module was challenging as it weighs 23 tonnes, making it the world's heaviest single-cabin active spacecraft in orbit.,China has also made advances in its manned space program. A total of nine taikonauts on three missions -- Shenzhou-13, Shenzhou-14 and Shenzhou-15 -- participated in the construction of the space station this year. The country also carried out its first in-orbit crew rotation, with six Chinese citizens aboard China's space station at the same time.,Chen Dong became the first taikonaut to remain in orbit for more than 200 days. Before returning to Earth on Dec. 4, he led the Shenzhou-14 crew to complete multiple tasks, including three spacewalks, a series of scientific experiments, a live science lecture and several in-orbit operations. The trio has been called ""the busiest space crew"" by Chinese netizens.,This year also witnessed the debut of several commercial Chinese rockets as they deployed satellites into space.,China will continue its intensive space launch schedule into next year. More Long March rockets will be tasked with missions for the operational phase of China space station. New-generation rockets are also expected to be unveiled, according to Long."
Training highlights of amphibious assault ship Anhui,"Source：,Editor：Wang Xinjuan,2022-12-21 17:42:46","
,
,By Gu Hao, Hu Xianhao and Liang Yinhu ,BEIJING, Dec. 21 -- CNS Anhui (Hull 33) is the PLA Navy's third Type 075 amphibious assault ship . Since its commissioning, CNS Anhui has conducted a series of training exercises focusing on amphibious combat, in a bid to hone the crew’s capability of performing joint operations."
PLA Hongkong Garrsion completes 24th round of officer rotations,"Source：,Editor：Chen Zhuo,2022-12-27 17:31:45","BEIJING, Dec. 27 -- Some officers assigned to the PLA Hong Kong Garrison finished the deployment in Hong Kong and returned to their former posts on December 26, 2022. This is the 24th round of officer rotations by the PLA Hong Kong Garrison since the return of Hong Kong to motherland.,At 10 am on Dec. 26, the PLA Hong Kong Garrison held a grand farewell ceremony at Xintian Military Camp to see off these officers, who had been selected from the PLA’s army, navy and air force troops.,During their stay in Hong Kong, these PLA officers adhered to the principle of ""one country, two systems"", the Hong Kong Special Administrative Region’s Basic Law and the Garrison Law, and fulfilled various tasks and missions, winning high acclaim from the Hong Kong compatriots and all sectors of society.,It is learned that the newly dispatched officers selected from the whole military to be deployed in Hong Kong have arrived in Hong Kong recently in batches to take over the defense duties."
PLA conducts joint combat-readiness security patrol and joint firepower striking exercise around Taiwan Island,"Source：,Editor：Lin Congyi,2022-12-25 22:21:28","
,
BEIJING, Dec. 25 -- On December 25, the PLA Eastern Theater Command conducted the joint combat-readiness security patrol and joint firepower striking exercise involving troops of multiple services and arms in the waters and airspace around the Taiwan Island, said Army Senior Colonel Shi Yi, spokesperson for the PLA Eastern Theater Command (ETC), on Sunday. ,The spokesperson pointed out that this is a firm response to the current escalation of provocations by the US in collusion with the Taiwan authorities. He stressed that the troops of the PLA Eastern Theater Command will take all necessary measures to resolutely safeguard national sovereignty and territorial integrity., "
New-style military backpack equipped to border troops in Xinjiang,"Source：,Editor：Chen Zhuo,2022-12-30 22:39:14","BEIJING, Dec. 30 -- Recently, a regiment under the PLA Xinjiang Military Command received the newly-distributed integrated individual combat systems including a new-style assault backpack in various kinds of load-carrying equipment.,The backpacks used by the PLA troops before featured a large capacity, but with the changing demand, they were increasingly inconvenient to use in maneuver and mobility operations.,The new-style assault backpack has drawn great attention when revealed in 2019. It was firstly distributed to special operations forces and border defense troops for trial use. As for now, with the distribution of the Type-21 military uniform and the new-type integrated individual combat system, more and more troops have received the new assault backpack.,The new-type integrated individual combat system also includes new-type military helmet, multi-function night vision goggles, load-carrying equipment, life backpack, etc."
"To resume all-round dialogue with China, US should take sincere actions: Defense Spokesperson","Source：,Editor：Chen Zhuo,2022-12-29 16:23:50","BEIJING, Dec. 29 – “The US cannot seek to resume dialogue and exchanges with China in an all-round manner, while at the same time constantly damaging China's interests, let alone confusing the whole story and blaming China for the cancellation of some military exchanges,” said Senior Colonel Tan Kefei, a spokesperson for China's Ministry of National Defense, at a regular press conference on Thursday.,The spokesperson made the remarks when asked to make comments on the claim recently made by a US deputy assistant secretary of defense, who said that China's suspension of the military dialogue mechanism due to Nancy Pelosi's provocative visit to Taiwan was not conducive to timely communication between the two militaries to dispel doubts and reduce misjudgments.,The spokesperson stated that China's cancellation of three exchanges between the two militaries was a necessary countermeasure against the US who wantonly created major crisis and caused serious damage to China's sovereignty and territorial integrity. “The cause and effect are clear, and the US side knows that,” he added.,According to the spokesperson, the US has issued a number of negative policy documents and bills concerning China in succession recently, made uproar about great-power competition, hyped up the so-called ""China threat"", which grossly interfered in China's internal affairs, damaged the basis and atmosphere for communication and exchanges between the two militaries.,“Chins attaches great importance to the development of China-US military relations, and the communication between the two militaries at the working level has never been interrupted,” said the spokesperson. “However, the US side cannot seek to resume dialogue and exchanges with Chinese side in an all-round manner, while at the same time constantly damaging China's interests, let alone confusing the whole story and blaming China for the cancellation of some military exchanges. This is definitely intolerable.”,He also pointed out that if the US really wants to conduct positive and constructive dialogue and exchange with China, it must show sincerity with practical deeds, earnestly respect China's core interests and major concerns, and actively create conditions and atmosphere for bringing bilateral military relations back to the right track."
CCG vessels patrol territorial waters surrounding Diaoyu Islands on December 21,"Source：,Editor：Li Jiayao,2022-12-21 14:01:55",
"Senior Chinese official stresses national defense, military modernization","Source：,Editor：Li Jiayao,2022-12-13 10:47:42","BEIJING, Dec. 12 (Xinhua) -- A senior Chinese military official has stressed resolving major issues in theory and in reality and opening a new page in the modernization of national defense and the armed forces.,Zhang Youxia, vice chairman of the Central Military Commission, made the remarks on Monday when he spoke at the end of a six-day seminar for senior military officials to study the guiding principles of the 20th National Congress of the Communist Party of China (CPC).,Zhang, also a member of the Political Bureau of the CPC Central Committee, highlighted the need to strengthen preparedness for war in the new era, boost combat preparation, advance planning and problem-solving, deepen reform and innovation, and enhance law-based governance to fulfill the armed forces' missions and tasks."
"China-Russia naval exercise ""Joint Sea-2022"" demonstrates both sides' ability to safeguard peace and stability: Defense Spokesperson","Source：,Editor：Huang Panyue,2022-12-29 19:14:54","BEIJING, Dec. 29 -- The recent China-Russia Joint Sea-2022 naval exercise fully reflected the level of strategic mutual trust and the depth of tactical coordination between the two sides, and further deepened the China-Russia comprehensive strategic cooperative partnership of coordination for a new era, said Senior Colonel Tan Kefei, spokesperson for China's Ministry of National Defense, at a regular press conference on Thursday.,He introduced that according to the annual military cooperation plan between China and Russia, the navies of the two countries held the joint military exercise in waters east of the sea area from Zhoushan to Taizhou, East China's Zhejiang Province, from December 21 to 27. ""Adopting the red-blue confrontation approach, the two sides have conducted joint training drills on blockade and control, visit, board, search and seizure (VBSS), air defense, rescue, anti-submarine, and others,"" said the spokesperson. And then he elaborated on the three features of the exercise.,Firstly, it reflected the close coordination between the two navies. Both sides sent surface warships, submarines, aviation forces and other arms of the navy to predesigned waters and carried out maritime operations immediately after assembly at sea, which showed that the Chinese and Russian navies have formed a complete set of emergency coordination methods, communication and liaison standards and joint training organization mechanism after 10 years of joint exercises.,Secondly, it reflected the responsibilities of the two navies.""With the exercise focusing on joint maintenance of maritime security, the participating troops of the two navies took diversified military operations to jointly maintain the security and smoothness of the strategic maritime passages, demonstrating the determination and ability of both sides to jointly address maritime security threats and maintain international and regional peace and stability,"" Tan said. ,And thirdly, it reflected the professional confidence of the two navies.""The weather and sea conditions in the waters predesigned for the joint exercise have been adverse as affected by the cold wave,"" Tan mentioned, adding that the vessels from both sides withstood the test of strong winds and waves, completed the established subjects with excellence while overcoming many difficulties in close cooperation, and demonstrated professional tactical literacy and tenacious fighting style."
