name,time,content
"Breeders in E China' Anhui release shrimp, crab seedlings into ponds","10:01, February 09, 2023","
	Breeders have been busy releasing shrimp and crab seedlings into their outdoor ponds in Wuhe county, east China's Anhui Province.,
	,
	,
	Located in the plains of northern Anhui, Wuhe county abounds in rivers and lakes, which provide important conditions for local breeders to develop aquaculture and increase their incomes.,
	32-year-old Huang Jingzhong is a local breeder in Wuhe county. In 2018, Huang built a breeding base that uses a rice-shrimp co-culture system.,
	Last year, Huang's cultivation of crab and mandarin fish in his rice fields, which cover an area of 23 mu (about 1.53 hectares), generated more than 200,000 yuan ($29,500) in income for him.,
	,
	,
	""This year, I plan to release 100 kg of shrimp seedlings into the ponds,"" said Huang, adding that he bought the seedlings at 40 yuan per kg and will sell them at 100 yuan per kg during the harvest season.,
	Thanks to the rice-shrimp co-culture system, an increasing number of farmers in Wuhe county have enjoyed bumper harvests of both aquatic products and rice over the past years.,
	,
	,
	,
	"
Two Chinese Gen Zers turn to agriculture in E China’s Anhui,"13:28, February 09, 2023","
	Zhu Jiaojie and Li Lingfeng are two Chinese Gen Zers who make their living planting strawberries. Born after the millennium year, they have dedicated their lives to strawberry growing in Guangde city, east China’s Anhui Province.,
	“The most important part is my interest in agriculture. I studied agriculture and forestry in university. Planting strawberries fits my studies, and allows me to apply what I have learned,” says Zhu, who also acknowledges the support given by his family. As for Li, a veteran, his concern and affection for his grandparents prompted him to return home after his retirement. When he came back, he saw opportunities in rural regions and decided to forge a partnership with Zhu.,
	,
	,
	In less than two years, after learning from professionals in Guangde Sanpuhui Agriculture and Technology Development Company Co. Ltd., Zhu and Li gained a working knowledge of strawberry planting. They acquired some advanced skills here because the company is not only the strawberry plantation base of their city, it’s also the strawberry working station of Institute of Horticulture of Zhejiang Academy of Agricultural Sciences.,
	When the temperature drops below zero degrees Celsius, they must close the inner cover of their greenhouse. In the morning, when the temperature rises, they need to take the opportunity to ventilate them. Strawberries love sunlight and cannot survive being soaked, so they must pay special attention to make sure the strawberries have sufficient sunlight and guarantee that the excess water is drained away.,
	,
	,
	The accumulation of experience and knowledge of techniques and management, in addition to their strong work ethic, prompted them to establish their own fields. Today, in addition to owning strawberry fields, they also hold shares in Sanpuhui.,
	They have experimented with two types of planting methods: traditional planting and elevated greenhouse cultivation planting, which yield around 2,500 kilograms and 3,000 kilograms per mu (667 square meters), respectively.,
	,
	,
	In addition to the planting aspect, they have also shown a talent for innovation in sales. They use different channels to sell their produce, including livestream online sales, and self-service in-person sales. Outside their greenhouse, they have put up a stall with strawberries and a QR code for electronic payments, and customers can make purchases by themselves. This method spares them from labor costs, and increases their popularity.,
	“The picking period spans from November to April. Although sales prices have gone down, we yielded more produce this year, and we still expect to earn profits this year,” says Li.,
	The prime time for picking strawberries is around the Chinese New Year, during which Zhu and Li spent most of their time in the fields picking and processing strawberries, even on New Year’s Day and its Eve. “After finishing work in the New Year holiday, we hope to take a break from our work,” they said.,
	,
	"
Separated conjoined twins living healthy lives,"08:42, February 09, 2023","
	,
	,
	On April 1, 2009, doctors at Hunan Children's Hospital in Central China performed a successful surgery to separate a pair of conjoined twin girls in a procedure that took 3 hours and 13 minutes. Now, over a decade later, the girls have remained healthy and happy, living full lives.,
	The twins – Luo Hong and Luo Lan — were born in Hunan province connected from their breastbones to their abdomens and sharing one liver. This was extremely rare, as only about three in every 100,000 live births result in conjoined twins. They were separated just two weeks after birth.,
	Though the surgery went smoothly, the twins' condition was still complicated. Before being transferred to the general ward, they had been in the neonatal intensive care unit under observation by a medical team led by Gao Xirong, now director of the hospital's neonatology department.,
	More than two months later, the twins were discharged from the hospital. In subsequent years, the hospital continued to care for the twins by giving them free physical examinations every year.,
	""We have also visited their home,"" Gao said. ""Now, both girls are 1.63 meters tall, just like me. And their intellectual and physical development are normal,"" she said with relief.,
	""We are grateful to the hospital and people who have long shown their love for us,"" said Luo Guoquan, the twins' father.,
	Luo Lan, the younger sister, said she wants to be a doctor and help more people."
China Speed: back in full gear,"08:46, February 08, 2023","
			 ,
	Life and work are picking up pace after China shifted its management of Covid-19."
Main battle tanks rumble through snowfield,"15:03, January 28, 2023","
	,
	A convoy of vehicles attached to an army unit under the PLA Xinjiang Military Command maneuver on snow-covered road to a designated area for a training exercise in mid-January, 2023. (eng.chinamil.com.cn/Photo by Lin Jiayu)"
Tugboats help submarine dock at port,"09:52, January 30, 2023","
	,
	Two tugboats attached to a submarine flotilla with the navy under the PLA Northern Theater Command help a submarine to dock at a port during a combat exercise in January. (eng.chinamil.com.cn/Photo by Wu Haodong)"
Recruits conduct parachuting training,"08:41, January 29, 2023","
	,
	Recruits assigned to an airborne unit of the PLA Air Force queue up for boarding a transport plane before a parachuting training exercise in mid-January, 2023. (eng.chinamil.com.cn/Photo by Sheng Chao),
	,
	Recruits assigned to an airborne unit of the PLA Air Force jump out of the aircraft during a parachuting training exercise in mid-January, 2023. (eng.chinamil.com.cn/Photo by Sheng Chao),
	,
	Recruits assigned to an airborne unit of the PLA Air Force maneuver their parachutes in the sky during a parachuting training exercise in mid-January, 2023. (eng.chinamil.com.cn/Photo by Sheng Chao),
	,
	Recruits assigned to an airborne unit of the PLA Air Force maneuver their parachutes in the sky during a parachuting training exercise in mid-January, 2023. (eng.chinamil.com.cn/Photo by Sheng Chao),
	,
	Recruits assigned to an airborne unit of the PLA Air Force descend to the drop zone during a parachuting training exercise in mid-January, 2023. (eng.chinamil.com.cn/Photo by Sheng Chao)"
Soldiers practice reconnaissance skills on plateau,"09:12, January 31, 2023","
	,
	Soldiers assigned to a PLA army brigade stationed in Xizang climb up a cliff covered by thick ice layer with professional climbing equipment such as pickaxes and nailed climbing boots during a reconnaissance training exercise on plateau in late December of 2022. (eng.chinamil.com.cn/Photo by Yang Kai)"
Multiple fighter jets in flight training,"08:59, February 02, 2023","
	,
	An Airborne Early Warning (AEW) aircraft attached to an aviation division of air force under the PLA Southern Theater Command speeds up to take off in a recent flight training exercise. (eng.chinamil.com.cn/Photo by Gao Hongwei)"
Military vehicles maneuver in real-combat training,"09:26, February 01, 2023","
	,
	Military vehicles attached to a regiment under the PLA Xinjiang Military Command maneuver quickly en route to the designated area at the elevation of 5300 meters in the real-combat training in middle January, 2023. (eng.chinamil.com.cn/Photo by Chen Ming)"
